Incident energy;
Incident energy;
Incident energy;σ(E)
19.38966;7.112881
19.41265;7.357728
19.43564;7.688075
19.48162;8.461806
19.50044;8.71282
19.51925;8.860922
19.5249;8.881391
19.5378;8.885194
19.5507;8.832894
19.57244;8.646128
19.59418;8.396421
19.61955;8.120178
19.64491;7.931732
19.67028;7.853517
19.69564;7.870116
19.74637;8.081108
19.79709;8.420864
19.84782;8.85562
19.89855;9.395949
19.94928;10.06628
20.0;10.90062
20.05681;12.08772
20.08521;12.80779
20.11361;13.63228
20.14202;14.58117
20.15622;15.10934
20.17042;15.67799
20.18462;16.291
20.19882;16.95269
20.21302;17.66789
20.22012;18.04722
20.22722;18.44199
20.236;18.95272
20.24477;19.48924
20.25354;20.05381
20.26231;20.64828
20.26942;21.15355
20.27652;21.68017
20.28362;22.23005
20.29071;22.80368
20.2974;23.36866
20.30408;23.95704
20.31076;24.57099
20.31744;25.21192
20.32454;25.92444
20.33164;26.67112
20.33874;27.4541
20.34584;28.27565
20.35294;29.13823
20.36004;30.04452
20.36714;30.99739
20.37424;31.99998
20.38427;33.50768
20.39429;35.13036
20.40432;36.8832
20.41434;38.77627
20.42437;40.82876
20.43439;43.05416
20.44442;45.47713
20.45444;48.11611
20.46363;50.7514
20.47282;53.61708
20.48201;56.7411
20.4912;60.15611
20.50039;63.90042
20.50958;68.01954
20.51877;72.56795
20.52795;77.60618
20.53714;83.22655
20.54633;89.52547
20.55552;96.63158
20.56471;104.7101
20.5739;113.9763
20.58309;124.7135
20.59228;137.2984
20.60146;152.2165
20.60731;163.246
20.61316;175.7148
20.61901;189.8857
20.62485;206.0433
20.6307;224.6167
20.63655;246.0243
20.6424;270.79
20.64824;299.4752
20.65409;332.8915
20.65994;371.8185
20.66579;417.2
20.67163;470.0082
20.67748;531.6216
20.68333;603.2856
20.68918;686.4544
20.69502;782.5199
20.69962;868.4417
20.70421;964.0949
20.70881;1070.753
20.7134;1188.813
20.718;1319.64
20.72259;1463.489
20.72719;1621.766
20.73178;1794.494
20.74097;2187.125
20.75016;2644.859
20.75935;3168.569
20.76853;3755.072
20.77939;4521.472
20.79025;5348.294
20.81197;7064.308
20.82784;8223.644
20.84371;9151.164
20.85468;9591.93
20.86565;9834.029
20.8718;9876.203
20.88323;9772.793
20.89466;9441.956
20.91079;8639.79
20.92692;7550.679
20.95273;5558.33
20.96563;4588.502
20.97853;3702.394
20.98983;3018.114
21.00112;2429.899
21.00677;2171.857
21.01241;1937.852
21.01806;1726.194
21.0237;1536.525
21.02935;1366.87
21.03499;1216.406
21.04064;1083.093
21.04628;965.8746
21.05193;862.8117
21.05757;772.7923
21.06322;694.0838
21.06886;625.64
21.0737;574.0357
21.07854;528.2628
21.08338;487.6655
21.08822;451.646
21.09306;419.6632
21.0979;391.2305
21.10757;343.3681
21.11725;305.0413
21.12693;274.0397
21.13661;248.6341
21.14628;227.5409
21.15596;209.7425
21.16564;194.5371
21.17532;181.3844
21.18499;169.8915
21.20435;150.6818
21.2237;135.2489
21.24145;123.5167
21.25919;113.5651
21.27693;105.0177
21.29467;97.60348
21.31242;91.11466
21.33016;85.40096
21.36564;75.8168
21.40113;68.11905
21.43661;61.82817
21.4721;56.60615
21.50758;52.218
21.53984;48.80268
21.5721;45.8304
21.60436;43.22241
21.63662;40.91707
21.66888;38.86642
